datetime, aapl , cash , commission , total ,returns, equity_curve 
12/6/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/7/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/10/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/11/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/12/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/13/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/14/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/17/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/18/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/19/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/20/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/21/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/24/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/26/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/27/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/28/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
12/31/2012, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/2/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/3/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/4/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/9/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/10/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/14/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/15/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/16/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/17/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/18/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/22/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/23/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/24/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/25/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/28/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/29/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/30/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
1/31/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/1/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/4/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/5/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/6/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/7/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/8/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/11/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/12/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
2/13/2013, -   ," 6,574,954 ", (179)," 6,574,954 ",0.0%, 6.57 
