datetime, aapl , cash , commission , total ,returns, equity_curve 
1/3/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",,
1/3/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/4/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/5/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/6/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/7/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/10/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/11/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/12/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/13/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/14/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/18/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/19/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/20/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/21/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/24/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/25/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/26/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/27/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/28/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
1/31/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/1/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/2/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/3/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/4/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/7/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/8/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/9/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/10/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/11/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/14/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/15/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/16/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/17/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/18/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/22/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/23/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/24/2000, -   ," 1,000,000 ", -   ," 1,000,000 ",0.0%, 1.00 
2/25/2000," 479,539 "," 499,992 ", (9)," 979,531 ",-2.0%, 0.98 
2/28/2000," 492,326 "," 499,992 ", (9)," 992,318 ",1.3%, 0.99 
2/29/2000," 497,442 "," 499,992 ", (9)," 997,434 ",0.5%, 1.00 
3/1/2000," 566,495 "," 499,992 ", (9)," 1,066,487 ",6.9%, 1.07 
3/2/2000," 529,411 "," 499,992 ", (9)," 1,029,403 ",-3.5%, 1.03 
3/3/2000," 556,265 "," 499,992 ", (9)," 1,056,257 ",2.6%, 1.06 
3/6/2000," 546,035 "," 499,992 ", (9)," 1,046,027 ",-1.0%, 1.05 
3/7/2000," 533,247 "," 499,992 ", (9)," 1,033,239 ",-1.2%, 1.03 
3/8/2000," 529,411 "," 499,992 ", (9)," 1,029,403 ",-0.4%, 1.03 
3/9/2000," 530,690 "," 499,992 ", (9)," 1,030,682 ",0.1%, 1.03 
3/10/2000," 546,035 "," 499,992 ", (9)," 1,046,027 ",1.5%, 1.05 
3/13/2000," 526,853 "," 499,992 ", (9)," 1,026,845 ",-1.8%, 1.03 
3/14/2000," 496,163 "," 499,992 ", (9)," 996,155 ",-3.0%, 1.00 
3/15/2000," 505,114 "," 499,992 ", (9)," 1,005,106 ",0.9%, 1.01 
3/16/2000," 528,132 "," 499,992 ", (9)," 1,028,124 ",2.3%, 1.03 
3/17/2000," 543,477 "," 499,992 ", (9)," 1,043,469 ",1.5%, 1.04 
3/20/2000," 534,526 "," 499,992 ", (9)," 1,034,518 ",-0.9%, 1.03 
3/21/2000," 585,677 "," 499,992 ", (9)," 1,085,669 ",4.9%, 1.09 
3/22/2000," 626,597 "," 499,992 ", (9)," 1,126,589 ",3.8%, 1.13 
3/23/2000," 613,810 "," 499,992 ", (9)," 1,113,802 ",-1.1%, 1.11 
3/24/2000," 602,301 "," 499,992 ", (9)," 1,102,293 ",-1.0%, 1.10 
3/27/2000," 606,137 "," 499,992 ", (9)," 1,106,129 ",0.3%, 1.11 
3/28/2000," 604,858 "," 499,992 ", (9)," 1,104,850 ",-0.1%, 1.10 
3/29/2000," 590,792 "," 499,992 ", (9)," 1,090,784 ",-1.3%, 1.09 
3/30/2000," 546,035 "," 499,992 ", (9)," 1,046,027 ",-4.1%, 1.05 
3/31/2000," 589,513 "," 499,992 ", (9)," 1,089,505 ",4.2%, 1.09 
4/3/2000," 579,283 "," 499,992 ", (9)," 1,079,275 ",-0.9%, 1.08 
4/4/2000," 552,429 "," 499,992 ", (9)," 1,052,421 ",-2.5%, 1.05 
4/5/2000," 566,495 "," 499,992 ", (9)," 1,066,487 ",1.3%, 1.07 
4/6/2000," 543,477 "," 499,992 ", (9)," 1,043,469 ",-2.2%, 1.04 
4/7/2000," 572,889 "," 499,992 ", (9)," 1,072,881 ",2.8%, 1.07 
4/10/2000," 543,477 "," 499,992 ", (9)," 1,043,469 ",-2.7%, 1.04 
4/11/2000," 519,181 "," 499,992 ", (9)," 1,019,173 ",-2.3%, 1.02 
4/12/2000," 474,424 "," 499,992 ", (9)," 974,416 ",-4.4%, 0.97 
4/13/2000," 494,884 "," 499,992 ", (9)," 994,876 ",2.1%, 0.99 
4/14/2000," 485,933 "," 499,992 ", (9)," 985,925 ",-0.9%, 0.99 
4/17/2000," 538,362 "," 499,992 ", (9)," 1,038,354 ",5.3%, 1.04 
4/18/2000," 551,150 "," 499,992 ", (9)," 1,051,142 ",1.2%, 1.05 
4/19/2000," 525,574 "," 499,992 ", (9)," 1,025,566 ",-2.4%, 1.03 
4/20/2000," 516,623 "," 499,992 ", (9)," 1,016,615 ",-0.9%, 1.02 
4/24/2000," 523,017 "," 499,992 ", (9)," 1,023,009 ",0.6%, 1.02 
4/25/2000," 557,544 "," 499,992 ", (9)," 1,057,536 ",3.4%, 1.06 
4/26/2000," 526,853 "," 499,992 ", (9)," 1,026,845 ",-2.9%, 1.03 
4/27/2000," 551,150 "," 499,992 ", (9)," 1,051,142 ",2.4%, 1.05 
4/28/2000," 538,362 "," 499,992 ", (9)," 1,038,354 ",-1.2%, 1.04 
5/1/2000," 539,641 "," 499,992 ", (9)," 1,039,633 ",0.1%, 1.04 
5/2/2000," 511,508 "," 499,992 ", (9)," 1,011,500 ",-2.7%, 1.01 
5/3/2000," 499,999 "," 499,992 ", (9)," 999,991 ",-1.1%, 1.00 
5/4/2000," 480,818 "," 499,992 ", (9)," 980,810 ",-1.9%, 0.98 
5/5/2000," 491,048 "," 499,992 ", (9)," 991,040 ",1.0%, 0.99 
5/8/2000," 478,260 "," 499,992 ", (9)," 978,252 ",-1.3%, 0.98 
5/9/2000," 457,800 "," 499,992 ", (9)," 957,792 ",-2.1%, 0.96 
5/10/2000," 430,945 "," 499,992 ", (9)," 930,937 ",-2.8%, 0.93 
5/11/2000," 446,291 "," 499,992 ", (9)," 946,283 ",1.6%, 0.95 
5/12/2000," 468,030 "," 499,992 ", (9)," 968,022 ",2.3%, 0.97 
5/15/2000," 438,618 "," 499,992 ", (9)," 938,610 ",-3.0%, 0.94 
5/16/2000," 459,078 "," 499,992 ", (9)," 959,070 ",2.2%, 0.96 
5/17/2000," 439,897 "," 499,992 ", (9)," 939,889 ",-2.0%, 0.94 
5/18/2000," 437,339 "," 499,992 ", (9)," 937,331 ",-0.3%, 0.94 
5/19/2000," 407,928 "," 499,992 ", (9)," 907,920 ",-3.1%, 0.91 
5/22/2000," 390,025 "," 499,992 ", (9)," 890,017 ",-2.0%, 0.89 
5/23/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
5/24/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
5/25/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
5/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
5/30/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
5/31/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/1/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/2/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/5/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/8/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/9/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/12/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/15/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/16/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/19/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/22/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/23/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/29/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
6/30/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/3/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/5/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/10/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/11/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/12/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/17/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/18/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/19/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/24/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/25/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
7/31/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/1/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/2/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/3/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/4/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/8/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/9/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/10/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/11/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/15/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/16/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/17/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/18/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/22/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/23/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/24/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/25/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/29/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/30/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
8/31/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/1/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/5/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/8/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/11/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/12/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/15/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/18/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/19/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/22/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/25/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
9/29/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/2/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/3/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/4/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/5/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/9/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/10/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/11/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/12/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/16/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/17/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/18/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/19/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/23/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/24/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/25/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/30/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
10/31/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/1/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/2/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/3/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/8/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/9/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/10/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/15/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/16/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/17/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/22/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/24/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/29/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
11/30/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/1/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/4/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/5/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/6/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/7/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/8/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/11/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/12/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/13/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/14/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/15/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/18/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/19/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/20/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/21/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/22/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/26/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/27/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/28/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
12/29/2000, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/2/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/3/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/4/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/5/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/8/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/9/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/10/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/11/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/12/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/16/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/17/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/18/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/19/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/22/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/23/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/24/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/25/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/26/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/29/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/30/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
1/31/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/1/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/2/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/5/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/6/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/7/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/8/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/9/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/12/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/13/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/14/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/15/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/16/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/20/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/21/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/22/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/23/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/26/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/27/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
2/28/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/1/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/2/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/5/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/6/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/7/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/8/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/9/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/12/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/13/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/14/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/15/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/16/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/19/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/20/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/21/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/22/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/23/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/26/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/27/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/28/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/29/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
3/30/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/2/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/3/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/4/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/5/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/6/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/9/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/10/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/11/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/12/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/16/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/17/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/18/2001, -   ," 890,008 ", (18)," 890,008 ",0.0%, 0.89 
4/19/2001," 502,423 "," 444,995 ", (27)," 947,419 ",6.5%, 0.95 
4/20/2001," 488,068 "," 444,995 ", (27)," 933,064 ",-1.5%, 0.93 
4/23/2001," 473,713 "," 444,995 ", (27)," 918,709 ",-1.5%, 0.92 
4/24/2001," 467,971 "," 444,995 ", (27)," 912,967 ",-0.6%, 0.91 
4/25/2001," 482,326 "," 444,995 ", (27)," 927,322 ",1.6%, 0.93 
4/26/2001," 482,326 "," 444,995 ", (27)," 927,322 ",0.0%, 0.93 
4/27/2001," 511,036 "," 444,995 ", (27)," 956,032 ",3.1%, 0.96 
4/30/2001," 496,681 "," 444,995 ", (27)," 941,677 ",-1.5%, 0.94 
5/1/2001," 505,294 "," 444,995 ", (27)," 950,290 ",0.9%, 0.95 
5/2/2001," 519,649 "," 444,995 ", (27)," 964,645 ",1.5%, 0.96 
