,ticker,value
0,goog,
1,alle,
2,total,
3,intc,0.0
4,navi,
5,nwsa,
6,aapl,0.0
7,cash,75000144.439999998
8,cat,12854498.181231782
9,commission,-17.9
10,datetime,2013-01-18 00:00:00
11,crm,12532346.811976418
